pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp585,mid,insured_private_wind_pre_usd,5,20724494116.036808,21117726343.492886,19171272809.28404,4352250462.948125,40496667601.126976,3176975392.4788585,51339339725.04136
ssp585,mid,largest_entity_deficit_usd,5,1427505569.8403635,1525998059.4609964,1447773275.1190343,296694099.8831833,2997438523.4664874,217995210.63268244,3847698451.1864333
ssp585,mid,nfip_borrowed_usd,5,1304163035.116374,1490480050.1063392,1514908864.6877303,235186276.52207285,3047521390.1286855,174779390.7513615,3942284511.671784
ssp585,mid,nfip_claims_paid_usd,5,2104339416.103926,2201445684.1732254,2081991760.299001,399711334.41845727,4319421780.396957,291106204.16664135,5498781360.386025
ssp585,mid,nfip_fl_premium_base_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,nfip_fl_premium_depletion_usd,5,448117350.94784,376553002.779401,285664011.4594156,93977747.48800257,647873980.4133928,61256977.42606324,778706336.1825832
ssp585,mid,nfip_policyholder_shortfall_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,nfip_pool_used_usd,5,800228596.9213109,710092033.13655,575753789.8699447,161314490.8372413,1272104268.295934,109794012.71598503,1556836645.427012
ssp585,mid,rescued_defaults,5,4.016229252383341,3.6457778434240735,2.919132327490488,0.8811908972677264,6.522039407571042,0.6269659154347151,7.963865679285069
ssp585,mid,total_damage_usd,5,72407223391.94614,73768592825.98285,67531607145.50332,14725465138.991798,142000200607.03394,10485927115.367954,180270920138.8243
ssp585,mid,underinsured_flood_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,underinsured_wind_usd,5,11004623567.135569,11192228819.439934,10238502888.748919,2236105508.471964,21538147199.51813,1632060346.7260714,27326162133.096214
ssp585,mid,uninsured_wind_usd,5,25809507645.751682,26203750817.86284,23984944049.029552,5288657736.822432,50386009233.58554,3850862508.1820683,64103979456.73277
ssp585,mid,water_total_usd,5,11220629146.59379,11454741205.87698,10395948774.037462,2308746807.3558784,21999417099.83996,1676657651.6176577,27758008118.779297
ssp585,mid,wind_insured_citizens_pct,5,1.013130495229103,1.1740679970511851,1.1095963692951296,0.09294378983717244,2.259769157984967,-0.41521520603124396,2.4643609650882947
ssp585,mid,wind_insured_citizens_usd,5,3642682832.8689504,3853469760.1901617,3666777489.2572002,731608101.1920676,7570406155.785342,533230838.8452784,9727508509.87805
ssp585,mid,wind_insured_private_pct,5,9.0511610429758,8.968710807933153,7.185360131809306,1.6515545950001878,15.319729933791638,-2.168603225989516,15.440239876568718
ssp585,mid,wind_insured_private_usd,5,20724494116.036808,21117726343.492886,19171272809.28404,4352250462.948125,40496667601.126976,3176975392.4788585,51339339725.04136
ssp585,mid,wind_total_usd,5,61186594245.35235,62313851620.10588,57136735252.66312,12416718331.635923,120000783507.19398,8809269463.750296,152512912020.04504
ssp585,mid,wind_underinsured_pct,5,4.578972051523122,4.54930430454492,3.7926467129046877,0.6687162981589427,7.9541859585274155,-1.2411239878033422,8.02053632883218
ssp585,mid,wind_underinsured_usd,5,11004623567.135569,11192228819.439934,10238502888.748919,2236105508.471964,21538147199.51813,1632060346.7260714,27326162133.096214
ssp585,mid,wind_uninsured_pct,5,10.589365792038052,10.660955486164013,8.90748781523478,1.60974420227606,18.642663343760947,-3.010935867575089,18.842150320196094
ssp585,mid,wind_uninsured_usd,5,25809507645.751682,26203750817.86284,23984944049.029552,5288657736.822432,50386009233.58554,3850862508.1820683,64103979456.73277
ssp585,mid,year_id,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,catbond_issue_volume_year_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,catbond_limit_in_force_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,catbond_payout_usd,5,721806464.9231623,596078606.6649821,406591738.9759284,162737783.55608237,977068696.1626471,108025069.68615356,1073834192.1039977
ssp585,near,catbond_triggers,5,4.814634771700954,3.8614674766486097,2.5704258127554827,1.1187818500862154,6.21899971683904,0.804103083477026,6.899399528065066
ssp585,near,catbond_unfilled_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,citizens_residual_deficit_usd,5,1324183834.3010964,1488605561.3745053,1209707189.6891334,280797717.4044239,2714713281.3503747,23339548.594234347,2716527500.0369
ssp585,near,citizens_tier1_capacity_usd,5,0.0,2.384185791015625e-08,5.3312014997000454e-08,0.0,7.152557373046876e-08,0.0,1.1920928955078125e-07
ssp585,near,citizens_tier1_usd,5,150076579.3925239,132099746.60844925,94108813.27306606,33174090.405480973,223661375.15333116,18580167.365078688,244752853.12953746
ssp585,near,citizens_tier2_capacity_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,near,citizens_tier2_usd,5,77098518.65750188,68166652.15117641,50907423.93704648,14372931.458003871,117652797.16428515,5539813.723658916,127119345.19102599
ssp585,near,defaulted_premium_base_pct,5,7.729889579452131,6.930016754720799,5.144044642607105,1.5111534204120498,11.960638308976,0.6434135722754806,12.87515668636102
ssp585,near,defaults_post,5,3.8177000000000003,3.5352200000000003,2.6646366801123187,0.74188,6.16576,0.2607999999999999,6.5606
ssp585,near,defaults_pre,5,6.075233166081285,5.6692222956782174,4.274606786986892,1.1960592737600164,9.899587713625866,0.41783212293336036,10.518646189376444
ssp585,near,diag_group_shortfall_total_usd,5,12418361.071044616,21282265.906749066,19693308.210405394,3978756.4477755185,42748110.24303488,-505466.32668485213,46153862.855335385
