model,period,time_category,pathway,metric,historical_value,future_value,delta_absolute,delta_relative
canesm,ssp585_2cal,mid,ssp585,nfip_borrowed_usd,18467646.44827069,193247037.19963217,174779390.7513615,9.464085813042399
canesm,ssp585_2cal,mid,ssp585,nfip_claims_paid_usd,80629474.99125698,371735679.15789837,291106204.16664135,3.610419194695331
canesm,ssp585_2cal,mid,ssp585,nfip_pool_used_usd,62161828.54298628,171955841.2589713,109794012.71598503,1.7662609882857618
canesm,ssp585_2cal,mid,ssp585,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
canesm,ssp585_2cal,mid,ssp585,nfip_fl_premium_depletion_usd,44916469.34531452,106173446.77137776,61256977.42606324,1.3637976964557053
canesm,ssp585_2cal,mid,ssp585,underinsured_flood_usd,0.0,0.0,0.0,
canesm,ssp585_2cal,mid,ssp585,fhcf_total_precap_usd,137953772.37042728,932935829.8017074,794982057.4312801,5.76266994204863
canesm,ssp585_2cal,mid,ssp585,fhcf_total_postcap_usd,118576139.06881401,602845430.4298174,484269291.3610034,4.084036595929004
canesm,ssp585_2cal,mid,ssp585,fhcf_shortfall_usd,19377633.301613256,330090399.37189,310712766.07027674,16.03460862500731
canesm,ssp585_2cal,mid,ssp585,fhcf_scaling_factor,0.9993913920048104,0.9920248026621175,-0.007366589342692964,-0.00737107543813776
canesm,ssp585_2cal,mid,ssp585,fhcf_recovery_private_usd,105929162.48588498,526273115.68970066,420343953.2038157,3.9681608287975125
canesm,ssp585_2cal,mid,ssp585,fhcf_recovery_citizens_usd,12646976.582929062,76572314.7401167,63925338.15718764,5.054594490470893
canesm,ssp585_2cal,mid,ssp585,catbond_payout_usd,191737574.02469543,328032964.46750396,136295390.44280854,0.7108434073816641
canesm,ssp585_2cal,mid,ssp585,catbond_unfilled_usd,0.0,0.0,0.0,
canesm,ssp585_2cal,mid,ssp585,catbond_triggers,1.5055,2.300940762948413,0.795440762948413,0.528356534671812
canesm,ssp585_2cal,mid,ssp585,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
canesm,ssp585_2cal,mid,ssp585,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
