model,metric,era5_value,gcm_20thcal_value,bias_absolute,bias_relative
ecearth6,insured_private_wind_pre_usd,5491050988.223578,1297445601.6908906,-4193605386.532688,-0.7637163441983208
ecearth6,insured_citizens_wind_pre_usd,1077922754.0709696,269195137.4933471,-808727616.5776224,-0.7502649086154984
ecearth6,insured_flood_pre_usd,644954483.8175347,169745487.05483168,-475208996.762703,-0.7368101295302341
ecearth6,defaults_pre,3.4775,0.9399538106235565,-2.5375461893764433,-0.7297041522290275
ecearth6,defaults_post,2.1875,0.5877,-1.5998,-0.7313371428571429
ecearth6,rescued_defaults,1.29,0.3498343207149312,-0.9401656792850688,-0.7288106040969525
ecearth6,group_contrib_total_usd,572184876.4533527,108768069.08252837,-463416807.37082434,-0.8099074729889411
ecearth6,group_supported_companies,1.3025,0.35134049603373835,-0.9511595039662617,-0.7302568168646922
ecearth6,defaulted_premium_base_pct,4.590575368681856,1.3489134295168255,-3.2416619391650308,-0.7061559126728478
ecearth6,largest_entity_deficit_usd,328194908.3869914,63606602.88996905,-264588305.49702233,-0.8061925969461804
ecearth6,diag_group_shortfall_total_usd,6174970.940672383,762325.0663940797,-5412645.874278303,-0.8765459669821424
ecearth6,diag_groups_with_shortfall,0.073,0.013655989557184457,-0.05934401044281554,-0.8129316499015827
ecearth6,diag_groups_fully_funded_share,0.9986226415094339,0.9997423398196756,0.0011196983102417235,0.0011212426633440654
ecearth6,figa_residual_deficit_usd,1292311924.0864177,235323962.93526787,-1056987961.1511497,-0.8179046725877523
ecearth6,figa_collected_usd,48326314.97494906,15309357.636876557,-33016957.338072505,-0.683208669131663
ecearth6,citizens_residual_deficit_usd,718277468.2344651,158924209.4804154,-559353258.7540498,-0.7787425939016951
ecearth6,citizens_tier1_usd,100789599.68242246,34666587.13267403,-66123012.54974843,-0.6560499571195357
ecearth6,citizens_tier2_usd,49554667.266172744,15583302.454381777,-33971364.811790965,-0.6855331028522649
ecearth6,citizens_tier1_capacity_usd,539937478.65,539937478.65,0.0,0.0
ecearth6,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
ecearth6,nfip_borrowed_usd,345997559.61779946,82537450.30434902,-263460109.31345046,-0.7614507732496072
ecearth6,nfip_claims_paid_usd,644954483.8175347,169745487.05483168,-475208996.762703,-0.7368101295302341
ecearth6,nfip_pool_used_usd,298956924.1997352,86868240.03771245,-212088684.16202277,-0.7094289076252498
ecearth6,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
ecearth6,nfip_fl_premium_depletion_usd,182250316.13919604,58398687.68345095,-123851628.45574509,-0.6795687989981417
ecearth6,underinsured_flood_usd,0.0,0.0,0.0,
ecearth6,fhcf_total_precap_usd,1311138277.5906637,296115945.23676974,-1015022332.353894,-0.7741535349109708
ecearth6,fhcf_total_postcap_usd,965536172.7988871,231652821.7288704,-733883351.0700167,-0.7600785674788783
ecearth6,fhcf_shortfall_usd,345602104.79177666,64463123.50789937,-281138981.2838773,-0.8134758943475242
ecearth6,fhcf_scaling_factor,0.9895177457955809,0.9978907064975763,0.008372960701995336,0.00846165795163522
ecearth6,fhcf_recovery_private_usd,805045573.3874182,192340755.66754037,-612704817.7198777,-0.7610809101673318
ecearth6,fhcf_recovery_citizens_usd,160490599.41146898,39312066.061330035,-121178533.35013895,-0.755050662122951
ecearth6,catbond_payout_usd,511945273.42870957,201520093.46559817,-310425179.9631114,-0.6063639925495656
ecearth6,catbond_unfilled_usd,0.0,0.0,0.0,
ecearth6,catbond_triggers,3.6528,1.5367004719349333,-2.1160995280650665,-0.5793088940169367
ecearth6,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
ecearth6,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
ecearth6,year_id,5000.5,5000.5,0.0,0.0
ipsl6,total_damage_usd,19343788695.230297,1782140309.959675,-17561648385.270622,-0.9078701521176611
ipsl6,wind_total_usd,16304436396.651468,1505023504.8251002,-14799412891.826368,-0.9076923931492539
ipsl6,water_total_usd,3039352298.578831,277116805.1345747,-2762235493.4442563,-0.9088237302190497
ipsl6,underinsured_wind_usd,2969616746.555762,272423646.9726611,-2697193099.583101,-0.9082630284569129
ipsl6,uninsured_wind_usd,6765845907.801158,625837584.1594278,-6140008323.64173,-0.9075004673934675
ipsl6,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
ipsl6,wind_insured_private_usd,5491050988.223578,508331276.7564862,-4982719711.4670925,-0.9074255041800409
ipsl6,wind_insured_citizens_usd,1077922754.0709696,103717080.49587065,-974205673.575099,-0.9037806001365456
ipsl6,wind_underinsured_usd,2969616746.555762,272423646.9726611,-2697193099.583101,-0.9082630284569129
ipsl6,wind_uninsured_usd,6765845907.801158,625837584.1594278,-6140008323.64173,-0.9075004673934675
ipsl6,flood_insured_capped_usd,644954483.8175347,58061755.666188054,-586892728.1513467,-0.9099754213312604
ipsl6,flood_un_derinsured_usd,2394397814.7612963,220028364.89033443,-2174369449.8709617,-0.9081070139916287
ipsl6,wind_insured_private_pct,20.511926737827867,12.72968227433915,-7.782244463488718,-0.37940094867523044
ipsl6,wind_insured_citizens_pct,3.6899013245489156,1.8062031510434604,-1.8836981735054552,-0.5105009613599177
ipsl6,wind_underinsured_pct,10.951058655424745,6.493661603237167,-4.457397052187578,-0.40702887204238924
ipsl6,wind_uninsured_pct,25.378578795587508,15.21849474355127,-10.160084052036238,-0.4003409384690501
ipsl6,flood_insured_capped_pct,2.1724964393234587,1.1124068831411853,-1.0600895561822734,-0.4879591685371866
ipsl6,flood_un_derinsured_pct,8.766038047287509,5.5798423632527445,-3.1861956840347645,-0.36347043748237834
ipsl6,insured_private_wind_pre_usd,5491050988.223578,508331276.7564862,-4982719711.4670925,-0.9074255041800409
ipsl6,insured_citizens_wind_pre_usd,1077922754.0709696,103717080.49587065,-974205673.575099,-0.9037806001365456
ipsl6,insured_flood_pre_usd,644954483.8175347,58061755.666188054,-586892728.1513467,-0.9099754213312604
ipsl6,defaults_pre,3.4775,0.4476668339187155,-3.0298331660812847,-0.8712676250413471
ipsl6,defaults_post,2.1875,0.2836,-1.9039,-0.8703542857142856
ipsl6,rescued_defaults,1.29,0.1630707476166583,-1.1269292523833419,-0.8735885677390247
ipsl6,group_contrib_total_usd,572184876.4533527,27100142.804980285,-545084733.6483724,-0.9526374360452192
