pathway,time_category,metric,era5_baseline,delta_median,delta_p10,delta_p90,scaled_median,scaled_p10,scaled_p90,n_models
ssp245,mid,flood_un_derinsured_pct,8.766038047287509,3.727340677467006,1.4022360161298102,6.347858606115008,12.493378724754514,10.16827406341732,15.113896653402517,5
ssp245,mid,flood_un_derinsured_usd,2394397814.7612963,5780993196.953457,1097853426.2285576,7224787095.540759,8175391011.714753,3492251240.989854,9619184910.302055,5
ssp245,mid,group_contrib_total_usd,572184876.4533527,1486274429.2611294,306017178.5272976,2067939612.3361826,2058459305.714482,878202054.9806503,2640124488.7895355,5
ssp245,mid,group_supported_companies,1.3025,2.910128198695434,0.5647675305532857,3.3625757023797567,4.212628198695434,1.8672675305532858,4.665075702379757,5
ssp245,mid,insured_citizens_wind_pre_usd,1077922754.0709696,2330220561.4395785,440416972.80714345,3002618093.21676,3408143315.510548,1518339726.878113,4080540847.2877297,5
ssp245,mid,insured_flood_pre_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683889843.4398174,1905430685.2057729,855914107.8577672,2328844327.257352,5
ssp245,mid,insured_private_wind_pre_usd,5491050988.223578,13038481368.605738,2623592651.098325,16652671976.37055,18529532356.829315,8114643639.321903,22143722964.594128,5
ssp245,mid,largest_entity_deficit_usd,328194908.3869914,837821289.6024704,171547549.41589725,1136042884.7134018,1166016197.989462,499742457.80288863,1464237793.1003933,5
ssp245,mid,nfip_borrowed_usd,345997559.61779946,641128484.4452325,99702713.1780231,1006294364.5360545,987126044.0630319,445700272.79582256,1352291924.153854,5
ssp245,mid,nfip_claims_paid_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683844778.570839,1905430685.2057729,855914107.8577672,2328799262.3883734,5
ssp245,mid,nfip_fl_premium_base_usd,1395853723.0,0.0,0.0,0.0,1395853723.0,1395853723.0,1395853723.0,5
ssp245,mid,nfip_fl_premium_depletion_usd,182250316.13919604,355896137.20770013,68628574.54133256,378819733.09737223,538146453.3468962,250878890.68052858,561070049.2365682,5
ssp245,mid,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ssp245,mid,nfip_pool_used_usd,298956924.1997352,619399932.8767644,112190571.57599168,677754292.0624468,918356857.0764997,411147495.7757269,976711216.262182,5
ssp245,mid,rescued_defaults,1.29,2.8751292523833416,0.5562848081323044,3.303339407571041,4.165129252383341,1.8462848081323044,4.593339407571041,5
ssp245,mid,total_damage_usd,19343788695.230297,45559239349.81429,8961484450.689297,58198641737.11387,64903028045.044586,28305273145.919594,77542430432.34416,5
ssp245,mid,underinsured_flood_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ssp245,mid,underinsured_wind_usd,2969616746.555762,6890905794.564576,1344901992.7925513,8853413647.669212,9860522541.120338,4314518739.348313,11823030394.224974,5
ssp245,mid,uninsured_wind_usd,6765845907.801158,16251902827.881422,3185072760.197375,20776554943.16237,23017748735.68258,9950918667.998533,27542400850.963528,5
ssp245,mid,water_total_usd,3039352298.578831,7042442713.763642,1318311845.1061828,8907014198.57632,10081795012.342474,4357664143.685014,11946366497.155151,5
ssp245,mid,wind_insured_citizens_pct,3.6899013245489156,1.2842958586097835,0.43470660536040956,2.0855288261244134,4.974197183158699,4.124607929909325,5.775430150673329,5
ssp245,mid,wind_insured_citizens_usd,1077922754.0709696,2330220561.4395785,440416972.80714345,3002618093.21676,3408143315.510548,1518339726.878113,4080540847.2877297,5
ssp245,mid,wind_insured_private_pct,20.511926737827867,8.634779368898108,3.3422391206571875,14.41765068430867,29.146706106725976,23.854165858485054,34.92957742213654,5
ssp245,mid,wind_insured_private_usd,5491050988.223578,13038481368.605738,2623592651.098325,16652671976.37055,18529532356.829315,8114643639.321903,22143722964.594128,5
ssp245,mid,wind_total_usd,16304436396.651468,38516796636.05066,7643172605.583113,49291627538.53756,54821233032.702126,23947609002.23458,65596063935.189026,5
ssp245,mid,wind_underinsured_pct,10.951058655424745,4.405593427670244,1.6319847665275407,7.515635963038704,15.356652083094989,12.583043421952286,18.46669461846345,5
ssp245,mid,wind_underinsured_usd,2969616746.555762,6890905794.564576,1344901992.7925513,8853413647.669212,9860522541.120338,4314518739.348313,11823030394.224974,5
ssp245,mid,wind_uninsured_pct,25.378578795587508,10.663034415451342,3.796100193388154,17.592217978193865,36.04161321103885,29.17467898897566,42.97079677378137,5
ssp245,mid,wind_uninsured_usd,6765845907.801158,16251902827.881422,3185072760.197375,20776554943.16237,23017748735.68258,9950918667.998533,27542400850.963528,5
ssp245,mid,year_id,5000.5,0.0,0.0,0.0,5000.5,5000.5,5000.5,5
ssp245,near,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
