pathway_abs,time_category,metric,era5_baseline_abs,delta_median_abs,delta_p10_abs,delta_p90_abs,scaled_median_abs,scaled_p10_abs,scaled_p90_abs,n_models_abs,pathway_rel,era5_baseline_rel,delta_median_rel,delta_p10_rel,delta_p90_rel,scaled_median_rel,scaled_p10_rel,scaled_p90_rel,n_models_rel,diff_median,diff_median_pct
ssp245,mid,fhcf_total_precap_usd,1311138277.5906637,3310373501.0380197,624057921.99491,4170571787.5013237,4621511778.628683,1935196199.5855737,5481710065.091988,5,ssp585,1311138277.5906637,11.443467550104813,3.902844222442382,51.54471329794295,16315106610.89974,6428306729.108441,68893384889.96016,5,-11693594832.271057,-71.6734196787831
ssp245,mid,figa_collected_usd,48326314.97494906,95121361.3051898,18372748.52543408,105103046.52786505,143447676.28013885,66699063.50038314,153429361.5028141,5,ssp245,48326314.97494906,4.322244519345491,1.2895825482638945,10.55460695628044,257204465.01558656,110647087.38854748,558391575.180946,5,-113756788.7354477,-44.22815472062433
ssp245,mid,figa_collected_usd,48326314.97494906,95121361.3051898,18372748.52543408,105103046.52786505,143447676.28013885,66699063.50038314,153429361.5028141,5,ssp585,48326314.97494906,5.430633576425862,1.8451927911785964,15.47756687937289,310768823.7028394,137497682.99095133,796300087.0333627,5,-167321147.42270052,-53.84103380418072
ssp245,mid,figa_residual_deficit_usd,1292311924.0864177,3406340630.2037253,707316750.4987878,4725222593.259998,4698652554.290143,1999628674.5852056,6017534517.346416,5,ssp245,1292311924.0864177,11.210721846894584,4.494783574731379,40.84072443236976,15780061444.444395,7100974333.899552,54071267096.36535,5,-11081408890.154251,-70.22411749895706
ssp245,mid,figa_residual_deficit_usd,1292311924.0864177,3406340630.2037253,707316750.4987878,4725222593.259998,4698652554.290143,1999628674.5852056,6017534517.346416,5,ssp585,1292311924.0864177,17.00985534985248,4.779847154787069,86.45585676183416,23274350819.68592,7469365397.528283,113020246524.51204,5,-18575698265.39578,-79.81188566464364
ssp245,mid,flood_insured_capped_pct,2.1724964393234587,0.7449562519035249,0.21707864781475164,1.2574210097400809,2.9174526912269836,2.38957508713821,3.42991744906354,5,ssp245,2.1724964393234587,0.40983678863918716,0.15331361111002925,1.0812954707752012,3.0628654033458536,2.5055697135598187,4.521606999439165,5,-0.14541271211886997,-4.747603729501861
ssp245,mid,flood_insured_capped_pct,2.1724964393234587,0.7449562519035249,0.21707864781475164,1.2574210097400809,2.9174526912269836,2.38957508713821,3.42991744906354,5,ssp585,2.1724964393234587,0.3316601319223508,-0.04331755362129691,1.0916056502112885,2.893026894990314,2.0783892083209885,4.544005827552852,5,0.024425796236669406,0.8442989686326847
ssp245,mid,flood_insured_capped_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683844778.570839,1905430685.2057729,855914107.8577672,2328799262.3883734,5,ssp245,644954483.8175347,7.297058430094994,2.237408538261402,17.006835906257734,5351225036.985842,2087981152.700862,11613589557.107506,5,-3445794351.780069,-64.39262651007786
ssp245,mid,flood_insured_capped_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683844778.570839,1905430685.2057729,855914107.8577672,2328799262.3883734,5,ssp585,644954483.8175347,11.108394601451254,2.751255042147335,34.70358298215489,7809363390.038017,2419388759.3760586,23027185932.692223,5,-5903932704.832245,-75.60069124665876
ssp245,mid,flood_un_derinsured_pct,8.766038047287509,3.727340677467006,1.4022360161298102,6.347858606115008,12.493378724754514,10.16827406341732,15.113896653402517,5,ssp245,8.766038047287509,0.46928957389904774,0.2123799689574224,1.1174282736213998,12.879848307281904,10.627768935650014,18.561456808967495,5,-0.38646958252738983,-3.0005755759475115
ssp245,mid,flood_un_derinsured_pct,8.766038047287509,3.727340677467006,1.4022360161298102,6.347858606115008,12.493378724754514,10.16827406341732,15.113896653402517,5,ssp585,8.766038047287509,0.5092233376814591,0.10147683184731454,1.1717210904856614,13.229909199969915,9.655587816179265,19.03738970729403,5,-0.7365304752154014,-5.567161981860588
