pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp245,near,diag_groups_with_shortfall,5,7.222641509433963,8.211677643070251,7.399293230384193,1.0116267953667952,16.02624660633484,0.41223513513513516,17.10563846153846
ssp245,near,fhcf_recovery_citizens_usd,5,5.00989409919798,6.477992189065937,5.566568956349194,1.5628504172303765,12.38470377301555,0.2086928255048389,14.768944433461387
ssp245,near,fhcf_recovery_private_usd,5,6.247285105944515,7.056379475783338,6.366165357873244,1.1146474870183252,13.802551974120691,0.3176706153750066,16.19910214437573
ssp245,near,fhcf_scaling_factor,5,-0.01861388054514516,-0.0178180626765005,0.01534499545084734,-0.03333103009314117,-0.002249813544578264,-0.035213414418221366,-0.0017379380956611434
ssp245,near,fhcf_shortfall_usd,5,9.694541575167703,86.76079029981521,175.4955055292912,2.5406927517711293,247.28003496118404,0.38530114632731877,400.49951757063155
ssp245,near,fhcf_total_postcap_usd,5,6.014782760345971,6.940456736382468,6.241781700451251,1.1591989690182434,13.569840509434862,0.3006265318449485,15.969569017287826
ssp245,near,fhcf_total_precap_usd,5,6.9959542234871375,9.02631928446089,9.048695633266743,1.360238426675717,18.6185313428686,0.32416760400587075,23.298396846081086
ssp245,near,figa_collected_usd,5,3.930019104450291,4.250041812982182,3.5000094173746783,0.8272397328443741,7.932197256891972,0.3639243444746912,8.792880683285798
ssp245,near,figa_residual_deficit_usd,5,9.600465771801888,12.52243784866888,13.48640482524837,1.3984665659632578,26.74061348340915,0.4742323508680882,34.197720952908924
ssp245,near,flood_insured_capped_pct,5,0.38929036222513147,0.518774702527986,0.43011729845317814,0.12318397700331091,0.9793468048473424,0.10458055775073825,0.9989070506729311
ssp245,near,flood_insured_capped_usd,5,7.3065088186573055,6.877549611708325,5.871906390457385,1.1604334097121236,12.781039595599655,0.30110032497219974,15.243786221818048
ssp245,near,flood_un_derinsured_pct,5,0.44581135951315726,0.5974611607028816,0.4611168630972932,0.18174838328860615,1.0986689339070406,0.1717372198592314,1.1473604781165005
ssp245,near,flood_un_derinsured_usd,5,7.860726646704598,7.6752283395104755,6.747125732391555,1.1414411648941312,14.581045520426821,0.36060972887922166,17.220993596029977
ssp245,near,group_contrib_total_usd,5,9.533668517338453,12.431792673157913,13.534065649309357,1.4414765968539067,26.58934702461528,0.453710372943185,34.449818037500506
ssp245,near,group_supported_companies,5,5.321217547000896,5.5253840170360515,4.711133360406266,0.8816152237015713,10.444412408978907,0.40700949982007933,11.611723587223587
ssp245,near,insured_citizens_wind_pre_usd,5,6.318158908921383,6.654282642125553,5.910804567861851,0.9692191515399375,12.851284856545393,0.37094942600423636,14.825062011009654
ssp245,near,insured_flood_pre_usd,5,7.311596789630856,6.8785672059030345,5.871999753217033,1.1604334097121236,12.781039595599655,0.30110032497219974,15.243786221818048
ssp245,near,insured_private_wind_pre_usd,5,6.831891219435765,7.269175693963969,6.568199836277826,1.0106280206400151,14.17223524502364,0.4155385262109576,16.470803301339156
ssp245,near,largest_entity_deficit_usd,5,8.530801795715721,10.302048462809926,10.2744895188312,1.238043278716633,21.235904349472154,0.45366180193403105,25.95719530234208
ssp245,near,nfip_borrowed_usd,5,11.005195473292718,12.327293126544648,12.05235398457887,2.533626198476945,24.211172670042405,0.3062418935393871,32.155212130196325
ssp245,near,nfip_claims_paid_usd,5,7.3065088186573055,6.877549611708325,5.871906390457385,1.1604334097121236,12.781039595599655,0.30110032497219974,15.243786221818048
ssp245,near,nfip_fl_premium_base_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
