admin2_name,wind_weighted_present,rain_weighted_present,surge_weighted_present,is_coastal_present,n_extreme_events_present,mean_compound_hazard_present,wind_share_present,rain_share_present,surge_share_present,wind_deviation_pp_present,water_deviation_pp_present,wind_scaling_present,water_scaling_present,wind_weighted_future,rain_weighted_future,surge_weighted_future,is_coastal_future,n_extreme_events_future,mean_compound_hazard_future,wind_share_future,rain_share_future,surge_share_future,wind_deviation_pp_future,water_deviation_pp_future,wind_scaling_future,water_scaling_future,wind_share_change_pp,rain_share_change_pp,surge_share_change_pp,compound_hazard_change
Hillsborough,6.3720737232700575,0.6936603950546947,0.9461242017201859,1.0,244.0,8.011858320044938,79.53303052461263,8.657921387841068,11.8090480875463,9.533030524612627,-9.533030524612634,1.1361861503516089,0.6822323158462456,6.330278431605696,0.7279229207395196,0.8975406543293538,1.0,1548.0,7.955742006674569,79.56867412611959,9.149654678706518,11.281671195173885,9.56867412611959,-9.568674126119596,1.1366953446588512,0.6810441957960134,0.035643601506961886,0.4917332908654508,-0.5273768923724145,0.9929958430205922
Holmes,5.1590859573707775,0.5389513068421924,0.0,0.0,107.0,5.69803726421297,90.54145696401244,9.458543035987567,0.0,20.54145696401244,-20.541456964012433,1.2934493852001778,0.31528476786625226,5.12270531658183,0.5546345288507988,0.0,0.0,818.0,5.67733984543263,90.23073228041831,9.76926771958169,0.0,20.23073228041831,-20.23073228041831,1.289010461148833,0.32564225731938967,-0.3107246835941311,0.3107246835941222,0.0,0.9963676231269437
Indian River,6.321907638869384,0.7200615346630626,1.0333819847303591,1.0,210.0,8.075351158262805,78.2864734297124,8.916782942947146,12.796743627340456,8.286473429712402,-8.286473429712398,1.1183781918530342,0.7237842190095867,6.273245728078771,0.7778968162960146,1.073721087180404,1.0,1360.0,8.12486363155519,77.21047407755694,9.574275354909759,13.2152505675333,7.210474077556938,-7.210474077556942,1.1030067725365278,0.7596508640814352,-1.0759993521554634,0.6574924119626129,0.4185069401928434,1.0061313090071289
Jackson,5.22208086894214,0.5314084497132658,0.0,0.0,111.0,5.753489318655406,90.76371884466353,9.23628115533647,0.0,20.76371884466353,-20.76371884466353,1.2966245549237647,0.3078760385112157,5.13225213967087,0.5444596289226377,0.0,0.0,836.0,5.676711768593508,90.40889072552763,9.591109274472393,0.0,20.408890725527627,-20.408890725527606,1.2915555817932518,0.3197036424824131,-0.3548281191359024,0.35482811913592194,0.0,0.9866554805597795
Jefferson,6.415639389475956,0.7042540474423273,1.0930211217339152,1.0,226.0,8.2129145586522,78.11647550524148,8.574958894469503,13.30856560028902,8.116475505241482,-8.116475505241475,1.1159496500748782,0.7294508164919509,6.24330493509887,0.6910613971900829,1.0401480459463934,1.0,1480.0,7.974514378235344,78.29072265690027,8.665874364414972,13.043402978684759,8.290722656900272,-8.290722656900272,1.1184388950985753,0.7236425781033242,0.1742471516587898,0.09091546994546817,-0.2651626216042615,0.9709725239786278
Lafayette,5.194857485489528,0.5854092432136877,0.0,0.0,118.0,5.780266728703216,89.87227976337655,10.127720236623446,0.0,19.872279763376554,-19.872279763376554,1.2838897109053793,0.33759067455411484,5.204937275719784,0.5830732618473936,0.0,0.0,869.0,5.788010537567178,89.92618866080242,10.073811339197588,0.0,19.926188660802424,-19.92618866080241,1.2846598380114633,0.3357937113065863,0.05390889742587035,-0.053908897425857916,0.0,1.001339697496226
Lake,5.258675425909511,0.5448910714337439,0.0,0.0,122.0,5.8035664973432555,90.61109971457753,9.388900285422473,0.0,20.611099714577534,-20.611099714577527,1.2944442816368218,0.3129633428474158,5.07494202704552,0.5175548694164152,0.0,0.0,882.0,5.592496896461935,90.74554927792909,9.254450722070917,0.0,20.745549277929086,-20.745549277929083,1.2963649896847012,0.3084816907356972,0.13444956335155211,-0.13444956335155567,0.0,0.9636310532535565
Lee,6.634529000704549,0.7642322582720547,1.1655481705506923,1.0,244.0,8.564309429527297,77.46717999037476,8.92345453606802,13.609365473557208,7.46717999037476,-7.467179990374774,1.1066739998624966,0.7510940003208408,6.57545807034041,0.7842110696833863,1.135906885260392,1.0,1549.0,8.495576025284187,77.39861371107501,9.23081692576759,13.37056936315739,7.398613711075015,-7.398613711075022,1.105694481586786,0.7533795429641659,-0.06856627929974479,0.30736238969956986,-0.23879611039981796,0.9919744370741513
Leon,5.235498515911719,0.5279478264068449,0.0,0.0,114.0,5.763446342318565,90.83971993405497,9.16028006594502,0.0,20.83971993405497,-20.83971993405498,1.2977102847722137,0.30534266886483397,5.2070936461818995,0.574612066128344,0.0,0.0,855.0,5.781705712310245,90.06154766914379,9.93845233085621,0.0,20.061547669143792,-20.061547669143792,1.2865935381306257,0.33128174436187363,-0.7781722649111771,0.7781722649111895,0.0,1.0031681339440275
Levy,6.334529809520324,0.6996126473291908,0.9642064190933232,1.0,235.0,7.998348875942837,79.19796832785211,8.746963381823239,12.055068290324648,9.19796832785211,-9.197968327852113,1.1313995475407443,0.6934010557382628,6.321999056546133,0.7228210157258921,0.9397313593481796,1.0,1516.0,7.984551431620204,79.17788633072013,9.05274418877679,11.769369480503073,9.177886330720128,-9.177886330720135,1.1311126618674303,0.6940704556426622,-0.020081997131981666,0.3057808069535515,-0.28569880982157514,0.998274963428498
