state,county_fips,year,claims_usd
FL,12067,2016,3860
FL,12003,1996,13476
FL,12023,2009,6334
FL,12131,1997,0
FL,12097,2013,543
FL,12059,2004,30056
FL,12019,1995,770
FL,12117,1985,438
FL,12009,1996,5528
FL,12105,2012,32714
FL,12029,1982,17863
FL,,2022,12734
FL,12005,2012,161635
FL,12113,1990,175696
FL,12086,1996,47200
FL,12103,2024,1179250363
FL,12086,1995,2450760
FL,12009,1999,312417
FL,12011,2008,231287
FL,12103,1999,942424
FL,12086,1997,1328858
FL,12091,2004,49335040
FL,12019,2012,1800504
FL,12091,2005,8948107
FL,12083,2001,0
FL,12021,2021,0
FL,12053,1999,3373
FL,12099,2012,1107459
FL,12129,2005,6048778
FL,12113,2014,6184008
FL,12085,2004,9429014
FL,12089,2016,333609
FL,12031,2016,8564864
FL,12057,1979,230498
FL,12069,2004,421072
FL,12103,1979,1090504
FL,12107,2022,669639
FL,12095,1997,1782
FL,12105,2024,8895771
FL,12099,2014,2397208
FL,12099,1998,863737
FL,12089,2020,30577
FL,12005,2004,2637377
FL,12011,1995,1008504
FL,12127,2017,21594993
FL,12099,2015,149628
FL,12009,2001,76874
FL,12031,2001,463095
FL,12061,2017,1304407
FL,12099,1981,39593
FL,12017,1979,1083
FL,12107,2004,383994
FL,12109,2020,90652
FL,12035,1991,0
FL,12011,1986,163015
FL,12087,2023,438300
FL,12127,2008,3875748
FL,12015,1989,0
FL,12127,2012,17565
FL,12073,2002,64528
FL,12083,2007,9366
FL,12021,2025,0
FL,12073,2006,698
FL,12103,2006,1306133
FL,12086,1985,195246
FL,12059,2009,118256
FL,12109,1992,100273
FL,12071,2014,0
FL,12057,1998,147542
FL,12033,2024,10812
FL,12095,1983,6175
FL,12031,2024,308033
FL,12019,2009,360378
FL,12086,1988,9796
FL,12115,2009,38758
FL,12027,1988,6130
FL,12103,1991,68581
FL,12081,1986,10636
FL,12115,1989,0
FL,12057,2009,147765
FL,12061,2023,0
FL,12001,1999,0
FL,12021,2013,31440
FL,12057,2019,52488
FL,12009,2014,19610
FL,12095,2015,47412
FL,12009,1982,2203
FL,12111,1992,5319
FL,12105,2002,289175
FL,12005,2014,51237
FL,12027,2017,897591
FL,12089,2008,246667
FL,12115,1979,1420
FL,12003,1998,53247
FL,12119,2017,84308
FL,12015,1983,7967
FL,12133,2018,2606
FL,12123,2020,2327
FL,12085,1992,226514
FL,12121,1998,247445
FL,12015,1997,35426
FL,12107,1999,27169
FL,12061,1991,131860
FL,12031,1982,11909
FL,12009,2019,38671
FL,12037,2000,8300
FL,12039,2001,5139
FL,12091,1978,13659
FL,12075,2012,31768
FL,12101,2025,0
FL,12097,1999,0
FL,12121,1993,13745
FL,12045,2001,14136
FL,12087,2008,112622
FL,12031,1978,3060
FL,12073,1979,36900
FL,12105,2019,12447
FL,12073,2019,1523
FL,12105,2008,142824
FL,12005,2007,0
FL,12087,1987,1359
FL,12131,1991,2266
FL,12091,2019,105185
FL,12029,1991,23640
FL,12031,2019,5658
FL,12077,1994,0
FL,12087,2007,0
FL,12099,2023,38592
FL,12131,2012,0
FL,12021,1981,696
FL,12031,2006,0
FL,12061,1997,6626
FL,12095,1990,13315
FL,12015,1979,3591
FL,12087,1986,11517
FL,12029,2018,61296
FL,12037,2002,135478
FL,12123,2015,18915
FL,12069,2005,0
FL,12133,2013,17453
FL,12091,1992,0
FL,12113,2019,0
FL,12089,2000,3998
FL,12107,2018,0
FL,12061,1983,771
FL,12061,2015,24911
FL,12113,1984,0
FL,12127,1988,0
FL,12095,1981,3229
FL,12111,1986,13151
FL,12055,2002,0
FL,12107,2019,0
FL,12107,2011,0
FL,12021,1989,0
FL,12077,2009,0
FL,12099,1990,709
FL,12055,2011,6845
FL,12049,1997,2074
FL,12087,1991,0
FL,12117,2012,6438
FL,12043,2017,6801
FL,12117,1984,0
FL,12059,1996,0
FL,12061,1989,779
FL,12043,1985,0
FL,12077,1998,26745
FL,12013,2013,0
FL,12037,1983,5621
FL,12049,1993,100000
FL,12111,1990,932
FL,12129,1989,0
FL,12019,2002,0
FL,12029,1980,754
FL,12115,2007,27885
FL,12043,2024,0
FL,12095,1980,883
FL,12103,1994,7037
FL,12021,2018,0
FL,12103,2011,334697
FL,12073,2000,165830
FL,12007,2006,7463
FL,12009,1994,62134
FL,12086,2008,403906
FL,12119,1996,750
FL,12086,2000,57877840
FL,12005,2013,5099284
FL,12086,2012,4894823
FL,12086,2018,70048
FL,12037,1985,1315017
FL,12035,2017,15506152
FL,12081,2023,7008214
FL,12127,2016,2989441
FL,12061,2004,17208408
FL,12101,2023,21999623
FL,12115,1984,17400
FL,12086,1981,309981
FL,12011,2002,619887
FL,12011,2012,1198364
FL,12109,2017,25122536
FL,12011,2010,113013
FL,12021,2005,3000443
FL,12095,2024,1633754
FL,12057,1985,5118747
FL,12099,1991,658670
FL,12011,2009,8354342
FL,,1985,1121200
FL,,1983,50458
FL,12033,1985,149621
FL,12071,2013,78003
FL,,1993,1339778
FL,12073,2001,340024
FL,12101,2017,1646352
FL,12057,2002,211790
FL,12127,2009,4413754
FL,12005,1985,462711
FL,12086,2006,1126513
FL,12013,2005,80887
FL,12109,2007,232737
FL,12061,2024,1106316
FL,12005,2005,5602481
FL,12023,2012,1347861
FL,12099,1984,70494
FL,12086,2011,2521489
FL,12009,2003,0
FL,12117,2004,457563
FL,12111,1995,212623
FL,12061,2013,62221
FL,12099,1979,273710
FL,12071,2006,199812
FL,12109,2018,2474
FL,12053,1996,1055017
FL,12085,1999,217897
FL,12029,1984,5769
FL,12101,1987,58322
FL,12131,1994,131767
FL,12035,2024,444274
FL,12041,1987,11298
FL,12033,1997,0
FL,12086,2004,2619907
FL,12107,2001,203142
FL,12015,2013,47596
FL,12103,2018,72185
FL,12031,1996,1417161
FL,12103,1987,42780
FL,12073,1980,47113
FL,12113,2013,114851
FL,12099,2002,22264
FL,12009,1984,29032
FL,12009,2018,0
FL,12085,2023,25707
FL,12061,2025,0
FL,12101,1982,60346
FL,12041,1984,25075
FL,12119,1979,393
FL,12091,2007,30623
FL,12035,2004,629352
FL,12085,2017,357619
FL,12099,1996,0
FL,12069,2024,1346417
FL,12109,2010,0
FL,12129,2016,478245
FL,12071,2003,85172
FL,12085,1979,4508
FL,12027,1998,223945
FL,12083,2017,914520
FL,12029,2021,239180
FL,12005,1993,0
FL,12103,2009,48733
FL,12005,2022,6968
FL,12117,1993,1298
FL,12091,2001,3620
FL,12003,2024,14483
FL,12031,2021,98959
FL,12101,2011,6265
FL,12023,2013,0
FL,12095,2021,3049
FL,12119,1995,750
FL,12087,1979,2398
FL,12017,1994,0
FL,12019,2024,71715
FL,12101,1978,483
FL,12031,1984,26560
FL,12057,1994,24352
FL,12095,1988,0
FL,12109,2021,222847
FL,12069,2012,0
FL,12105,2025,0
FL,12059,1990,48176
FL,12091,1988,0
FL,12089,1996,42088
FL,12017,1982,24090
FL,12009,2023,2674
FL,12105,1998,179535
FL,12015,2019,659
FL,12037,2013,25151
FL,12017,2010,9782
FL,12113,1989,56396
FL,12063,1998,9115
FL,12073,1997,1287
FL,12105,2003,24002
FL,12005,1984,44902
FL,12071,1991,7319
FL,12053,1995,58015
FL,12073,1982,485
FL,12083,1995,0
FL,12081,2005,163540
FL,12089,1989,4873
FL,12021,2002,0
FL,12039,1991,3800
FL,12033,1982,0
FL,12049,1998,2163
FL,12063,2016,0
FL,12131,2019,0
FL,12011,2025,0
FL,12085,2016,4533
FL,12043,2008,22338
FL,12051,1982,1546
FL,12015,1991,14743
FL,12031,1990,2550
FL,12009,1998,0
FL,12105,2001,29265
FL,12079,2013,95947
FL,12117,1979,19725
FL,12095,1993,9666
FL,12009,1983,2407
FL,12053,2014,0
FL,12007,2008,6353
FL,12097,2005,21932
FL,12073,1986,35444
FL,12045,2021,32963
FL,12101,1990,2195
FL,12105,1984,2045
FL,12119,2003,15803
FL,12017,1999,0
FL,12091,1997,0
FL,12115,2015,0
FL,12081,2008,11831
FL,12049,2017,581866
FL,12097,2015,0
FL,12029,2001,0
FL,12027,2011,10218
FL,12055,2001,10484
FL,12073,2020,7081
FL,12113,2003,0
FL,12117,2002,1625
FL,12017,2000,7068
FL,12055,2003,4240
FL,12023,1992,5129
FL,12037,1996,0
FL,12091,1995,47989156
FL,12091,1991,5912
FL,12123,1994,6110
FL,12075,2023,4888956
FL,12111,2018,17538
FL,12095,1991,257
FL,12023,1996,31889
FL,12089,2011,2053
FL,12035,2013,0
FL,12117,2021,102313
FL,12095,1998,18783
FL,12033,2005,5937118
FL,12055,2008,1762
FL,12091,1981,2608
FL,12033,1987,134904
FL,12075,1996,1117905
FL,12086,2017,43416549
FL,12059,2005,12174
FL,12015,2004,1257289
FL,12127,1982,39334
FL,12115,2024,261577699
FL,12005,2018,46942288
FL,12113,1995,13073998
FL,12089,2005,0
FL,12115,1981,96042
FL,12117,2008,1234475
FL,12115,2004,468333
FL,12031,1991,105614
FL,12127,1985,6500
FL,12057,1988,322370
FL,12009,2004,3521533
FL,12009,2022,1728992
FL,12057,2016,346251
FL,12085,1998,9459
FL,12087,2018,30000
FL,12105,2017,3048839
FL,12115,2003,932061
FL,12069,2017,416381
FL,12113,2005,10302998
FL,12115,1996,1082546
FL,12003,2004,243525
FL,12037,2005,7266442
FL,12083,2008,0
FL,12123,2024,11053883
FL,12005,1998,3789043
FL,12127,2004,6470213
FL,12033,2014,27308880
FL,12053,2023,6657940
FL,12093,2005,80023
FL,12095,2016,10828
FL,12011,1983,48158
FL,12099,1980,4929
FL,12099,2003,7243
FL,12021,2023,135984
FL,12021,2001,504419
FL,12113,2023,32036
FL,12071,1989,21892
FL,12071,2005,506100
FL,12085,2010,0
FL,12111,1999,102249
FL,12089,2017,1840421
FL,12101,1998,238740
FL,12009,2000,5302
FL,12071,1999,31549
FL,12037,2012,47078
FL,12071,2018,20075
FL,12055,2014,17403
FL,12073,1994,848534
FL,12101,2009,83588
FL,12045,1988,1445
FL,12023,1998,221828
FL,12081,2022,496564
FL,12101,2000,12482
FL,12115,1998,66614
FL,12115,2023,3236914
FL,12035,2002,6864
FL,12123,1998,143201
FL,12095,2019,31463
FL,12127,2014,283547
FL,12045,2015,51482
FL,,1995,1175124
FL,12047,1986,64390
FL,12069,2008,107720
FL,12037,2016,289116
FL,12031,1997,14294
FL,12127,1991,13201
FL,12131,2015,8428
FL,12057,2003,271381
FL,12003,2012,290442
FL,12061,2022,273038
FL,12037,2024,499854
FL,12125,1998,48930
FL,12039,2002,0
FL,12027,1994,0
FL,12051,2004,9397
FL,12133,2012,0
FL,12057,2011,127562
FL,12033,2025,0
FL,12031,1983,17287
FL,12073,2018,128317
FL,12041,2021,14675
FL,12021,2006,1067
FL,12127,2002,5874
FL,12019,2011,2073
FL,12095,2013,137624
FL,12005,2001,10837
FL,12033,2022,4946
FL,12015,2002,9795
FL,12123,2021,123295
FL,12073,1995,47183
FL,12113,1996,6785
FL,12021,2011,998
FL,12033,2013,43948
FL,12007,2012,278916
FL,12117,2019,0
FL,12009,1992,1187
FL,12075,2001,2665
FL,12005,1980,607
FL,12005,2025,0
FL,12073,2010,81425
FL,12031,2010,0
FL,12113,2016,33855
FL,12037,1992,472
FL,12113,2015,62374
FL,12029,2015,4353
FL,12063,1984,2725
FL,12127,2018,0
FL,12099,1989,3855
FL,12045,1979,0
FL,12095,1992,6661
FL,12129,2000,22024
FL,12091,1983,0
FL,,1990,0
FL,12109,1990,0
FL,12027,1986,0
FL,12039,1994,23342
FL,12127,1981,552
FL,12063,2013,4551
FL,12119,2012,586
FL,12033,2009,48112
FL,,1997,23355
FL,12111,2009,0
