event_id,total_damage_usd
FL_era5_reanalcal_00354,6894918214.649189
FL_era5_reanalcal_00355,0.0
FL_era5_reanalcal_00356,28520903.439054504
FL_era5_reanalcal_00357,1897456967.1982758
FL_era5_reanalcal_00358,0.0
FL_era5_reanalcal_00359,0.0
FL_era5_reanalcal_00360,0.0
FL_era5_reanalcal_00361,8137801.191001259
FL_era5_reanalcal_00362,0.0
FL_era5_reanalcal_00363,20425690.291282333
FL_era5_reanalcal_00364,12947646.942091964
FL_era5_reanalcal_00365,0.0
FL_era5_reanalcal_00366,0.0
FL_era5_reanalcal_00367,196056195.28377882
FL_era5_reanalcal_00368,0.0
FL_era5_reanalcal_00369,0.0
FL_era5_reanalcal_00370,0.0
FL_era5_reanalcal_00371,0.0
FL_era5_reanalcal_00372,0.0
FL_era5_reanalcal_00373,0.0
FL_era5_reanalcal_00374,0.0
FL_era5_reanalcal_00375,0.0
FL_era5_reanalcal_00376,107680292.75506352
FL_era5_reanalcal_00377,651564032.0184556
FL_era5_reanalcal_00378,0.0
FL_era5_reanalcal_00379,0.0
FL_era5_reanalcal_00380,1504283717.7036018
FL_era5_reanalcal_00381,4077061.1577924844
FL_era5_reanalcal_00382,0.0
FL_era5_reanalcal_00383,34604951.00549868
FL_era5_reanalcal_00384,0.0
FL_era5_reanalcal_00385,15284578621.119751
FL_era5_reanalcal_00386,0.0
FL_era5_reanalcal_00387,47049.369128290666
FL_era5_reanalcal_00388,0.0
FL_era5_reanalcal_00389,3466.6447089321287
FL_era5_reanalcal_00390,2389149251.8281646
FL_era5_reanalcal_00391,0.0
FL_era5_reanalcal_00392,0.0
FL_era5_reanalcal_00393,291863621.9559443
FL_era5_reanalcal_00394,0.0
FL_era5_reanalcal_00395,0.0
FL_era5_reanalcal_00396,0.0
FL_era5_reanalcal_00397,0.0
FL_era5_reanalcal_00398,0.0
FL_era5_reanalcal_00399,0.0
FL_era5_reanalcal_00400,0.0
FL_era5_reanalcal_00401,0.0
FL_era5_reanalcal_00402,0.0
FL_era5_reanalcal_00403,0.0
FL_era5_reanalcal_00404,0.0
FL_era5_reanalcal_00405,0.0
FL_era5_reanalcal_00406,0.0
FL_era5_reanalcal_00407,0.0
FL_era5_reanalcal_00408,0.0
FL_era5_reanalcal_00409,214065663.1070761
FL_era5_reanalcal_00410,47740038.92049255
FL_era5_reanalcal_00411,0.0
FL_era5_reanalcal_00412,0.0
FL_era5_reanalcal_00413,4149742048.3885956
FL_era5_reanalcal_00414,45405.826457498006
FL_era5_reanalcal_00415,77079.56497573142
FL_era5_reanalcal_00416,0.0
FL_era5_reanalcal_00417,0.0
FL_era5_reanalcal_00418,665834099.845355
FL_era5_reanalcal_00419,440042162.8381543
FL_era5_reanalcal_00420,81915888567.71677
FL_era5_reanalcal_00421,0.0
FL_era5_reanalcal_00422,394591007173.9166
FL_era5_reanalcal_00423,0.0
FL_era5_reanalcal_00424,0.0
FL_era5_reanalcal_00425,1054833843.8607457
FL_era5_reanalcal_00426,182234872769.7453
FL_era5_reanalcal_00427,0.0
FL_era5_reanalcal_00428,7682724315.751371
FL_era5_reanalcal_00429,0.0
FL_era5_reanalcal_00430,0.0
FL_era5_reanalcal_00431,0.0
FL_era5_reanalcal_00432,0.0
FL_era5_reanalcal_00433,0.0
FL_era5_reanalcal_00434,4227795241.5574775
FL_era5_reanalcal_00435,75962051.19484729
FL_era5_reanalcal_00436,0.0
FL_era5_reanalcal_00437,465254.54569261556
FL_era5_reanalcal_00438,0.0
FL_era5_reanalcal_00439,0.0
FL_era5_reanalcal_00440,0.0
FL_era5_reanalcal_00441,0.0
FL_era5_reanalcal_00442,108890524.49605133
FL_era5_reanalcal_00443,1062318621.2098541
FL_era5_reanalcal_00444,39864.83190644651
FL_era5_reanalcal_00445,0.0
FL_era5_reanalcal_00446,6358616.61704238
FL_era5_reanalcal_00447,0.0
FL_era5_reanalcal_00448,0.0
FL_era5_reanalcal_00449,1135273089.8358724
FL_era5_reanalcal_00450,17747030.349162705
FL_era5_reanalcal_00451,0.0
FL_era5_reanalcal_00452,257731232.65089503
FL_era5_reanalcal_00453,0.0
FL_era5_reanalcal_00454,0.0
FL_era5_reanalcal_00455,4352721732.156812
FL_era5_reanalcal_00456,2056184.8474286883
FL_era5_reanalcal_00457,0.0
FL_era5_reanalcal_00458,79841506.32399128
FL_era5_reanalcal_00459,0.0
FL_era5_reanalcal_00460,5040659.96405235
FL_era5_reanalcal_00461,14539678149.34844
FL_era5_reanalcal_00462,0.0
FL_era5_reanalcal_00463,23226200.907090645
FL_era5_reanalcal_00464,0.0
FL_era5_reanalcal_00465,1107206146.131835
FL_era5_reanalcal_00466,0.0
FL_era5_reanalcal_00467,0.0
FL_era5_reanalcal_00468,387488756.1018104
FL_era5_reanalcal_00469,387354143.6442499
FL_era5_reanalcal_00470,0.0
FL_era5_reanalcal_00471,0.0
FL_era5_reanalcal_00472,0.0
FL_era5_reanalcal_00473,29521090.33190823
FL_era5_reanalcal_00474,0.0
FL_era5_reanalcal_00475,2532884150.0388703
FL_era5_reanalcal_00476,5113.168159758236
FL_era5_reanalcal_00477,1477520.6541956305
FL_era5_reanalcal_00478,1304881.4286895948
FL_era5_reanalcal_00479,0.0
FL_era5_reanalcal_00480,0.0
FL_era5_reanalcal_00481,0.0
FL_era5_reanalcal_00482,0.0
FL_era5_reanalcal_00483,0.0
FL_era5_reanalcal_00484,0.0
FL_era5_reanalcal_00485,0.0
FL_era5_reanalcal_00486,0.0
FL_era5_reanalcal_00487,0.0
FL_era5_reanalcal_00488,872020364.3161094
FL_era5_reanalcal_00489,0.0
FL_era5_reanalcal_00490,3488373.0095490394
FL_era5_reanalcal_00491,3569628132.998724
FL_era5_reanalcal_00492,440510618.2577758
FL_era5_reanalcal_00493,0.0
FL_era5_reanalcal_00494,139411096.32467926
FL_era5_reanalcal_00495,1889357301.5007486
FL_era5_reanalcal_00496,41397455710.75706
FL_era5_reanalcal_00497,483972.5849376431
FL_era5_reanalcal_00498,29314709531.61801
FL_era5_reanalcal_00499,0.0
FL_era5_reanalcal_00500,0.0
FL_era5_reanalcal_00501,0.0
FL_era5_reanalcal_00502,0.0
FL_era5_reanalcal_00503,57867224.69792561
FL_era5_reanalcal_00504,0.0
FL_era5_reanalcal_00505,0.0
FL_era5_reanalcal_00506,63873156148.986694
FL_era5_reanalcal_00507,0.0
FL_era5_reanalcal_00508,0.0
FL_era5_reanalcal_00509,0.0
FL_era5_reanalcal_00510,0.0
FL_era5_reanalcal_00511,0.0
FL_era5_reanalcal_00512,0.0
FL_era5_reanalcal_00513,93333745491.80432
FL_era5_reanalcal_00514,0.0
FL_era5_reanalcal_00515,2903241.8951947275
FL_era5_reanalcal_00516,96336617821.31242
FL_era5_reanalcal_00517,0.0
FL_era5_reanalcal_00518,40684420218.107315
FL_era5_reanalcal_00519,0.0
FL_era5_reanalcal_00520,0.0
FL_era5_reanalcal_00521,103823154.19966152
FL_era5_reanalcal_00522,0.0
FL_era5_reanalcal_00523,0.0
FL_era5_reanalcal_00524,0.0
FL_era5_reanalcal_00525,0.0
FL_era5_reanalcal_00526,0.0
FL_era5_reanalcal_00527,119483.11540919692
FL_era5_reanalcal_00528,38718584920.88097
FL_era5_reanalcal_00529,0.0
FL_era5_reanalcal_00530,0.0
FL_era5_reanalcal_00531,0.0
FL_era5_reanalcal_00532,0.0
FL_era5_reanalcal_00533,16062306.67895231
FL_era5_reanalcal_00534,9720915.641249716
FL_era5_reanalcal_00535,0.0
FL_era5_reanalcal_00536,0.0
FL_era5_reanalcal_00537,0.0
FL_era5_reanalcal_00538,0.0
FL_era5_reanalcal_00539,25585549.77060127
FL_era5_reanalcal_00540,0.0
FL_era5_reanalcal_00541,1068.3677698494962
FL_era5_reanalcal_00542,55176478.59680713
FL_era5_reanalcal_00543,0.0
FL_era5_reanalcal_00544,13497892.669881152
FL_era5_reanalcal_00545,3659429.8293243707
FL_era5_reanalcal_00546,0.0
FL_era5_reanalcal_00547,39648691.15317749
FL_era5_reanalcal_00548,161256523.04769614
FL_era5_reanalcal_00549,0.0
FL_era5_reanalcal_00550,0.0
FL_era5_reanalcal_00551,6827536771.494839
FL_era5_reanalcal_00552,24649088208.776398
FL_era5_reanalcal_00553,26586361580.44077
FL_era5_reanalcal_00554,12384529.919494929
FL_era5_reanalcal_00555,0.0
FL_era5_reanalcal_00556,0.0
FL_era5_reanalcal_00557,10794168.603130959
FL_era5_reanalcal_00558,0.0
FL_era5_reanalcal_00559,6413037368.650076
FL_era5_reanalcal_00560,0.0
FL_era5_reanalcal_00561,0.0
FL_era5_reanalcal_00562,1563844.3257455418
FL_era5_reanalcal_00563,10019253907.938751
FL_era5_reanalcal_00564,450384396.02913296
FL_era5_reanalcal_00565,0.0
FL_era5_reanalcal_00566,865365.5012066803
FL_era5_reanalcal_00567,0.0
FL_era5_reanalcal_00568,77016504.07446727
FL_era5_reanalcal_00569,0.0
FL_era5_reanalcal_00570,1111820039.098369
FL_era5_reanalcal_00571,0.0
FL_era5_reanalcal_00572,99618911.68002805
